#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested,SessionNumber,SessionRunNumber,IsSuite,SuiteTests,PrerequisiteTests,ExtraCreditTests,TestScores,FailFromPreReq,
0,Mon Nov 15 14:31:10 EST 2021,4,4,A6RequiredClassesSuite,ClassRegistryProvided+ MainClassProvided+ , , ,A6ExtraCondChecker BasicAndChecker BasicLetTest BasicOrChecker CombinationChecker CondChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker EvalChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ListChecker ListChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadLispChecker LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker PlusGeneratorChecker QuoteChecker TestLispFileProvided TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,0,true,ClassRegistryProvided MainClassProvided , , ,ClassRegistryProvided-(0.0/0.0) MainClassProvided-(0.0/0.0) , ,
1,Mon Nov 15 14:31:11 EST 2021,21,17,A6BasicOperationSuite,ClassRegistryProvided CombinationChecker+ CondChecker+ EvalChecker+ ListChecker+ ListChecker2+ LoadLispChecker+ MainClassProvided QuoteChecker+ TestLispFileProvided+ , ,A6ExtraCondChecker+ ,BasicAndChecker BasicLetTest BasicOrChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 NotChecker PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,0,1,true,A6ExtraCondChecker CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 QuoteChecker ,LoadLispChecker TestLispFileProvided ,A6ExtraCondChecker ,A6ExtraCondChecker-(0.0/10.0) CombinationChecker-(10.0/10.0) CondChecker-(10.0/10.0) EvalChecker-(10.0/10.0) ListChecker-(10.0/10.0) ListChecker2-(10.0/10.0) QuoteChecker-(10.0/10.0) , ,
2,Mon Nov 15 14:31:27 EST 2021,25,4,LogicalSuite,BasicAndChecker+ ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker+ QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker+ VariableArgumentAndChecker+ VariableArgumentOrChecker+ ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker ,0,2,true,BasicAndChecker BasicOrChecker NotChecker VariableArgumentAndChecker VariableArgumentOrChecker , ,VariableArgumentAndChecker VariableArgumentOrChecker ,BasicAndChecker-(10.0/10.0) BasicOrChecker-(0.0/10.0) NotChecker-(10.0/10.0) VariableArgumentAndChecker-(0.0/10.0) VariableArgumentOrChecker-(0.0/10.0) , ,
3,Mon Nov 15 14:31:31 EST 2021,25,0,BasicFunctionExpressionSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker PlusGeneratorChecker+ TimesGeneratorChecker+ VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 ,0,3,true,PlusGeneratorChecker TimesGeneratorChecker , ,PlusGeneratorChecker TimesGeneratorChecker ,PlusGeneratorChecker-(0.0/50.0) TimesGeneratorChecker-(0.0/0.0) , ,
4,Mon Nov 15 14:31:34 EST 2021,25,0,LispSetqSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker LispSetqChecker+ LispSetqChecker2+ LoadSetqChecker+ LoadSetqChecker2+ LoadSetqChecker3+ PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 ,0,4,true,LispSetqChecker LispSetqChecker2 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 , , ,LispSetqChecker-(0.0/10.0) LispSetqChecker2-(0.0/10.0) LoadSetqChecker-(0.0/15.0) LoadSetqChecker2-(0.0/15.0) LoadSetqChecker3-(0.0/15.0) , ,
5,Mon Nov 15 14:31:37 EST 2021,25,0,FuncallSocialDistanceSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker DerivedSafeChecker+ LispSetqChecker LispSetqChecker2 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 ,0,5,true,DerivedSafeChecker , ,DerivedSafeChecker ,DerivedSafeChecker-(0.0/30.0) , ,
6,Mon Nov 15 14:31:40 EST 2021,25,0,LispLambdaSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker DerivedSafeChecker LispLambdaChecker+ LispLambdaChecker2+ LispLambdaChecker3+ LispSetqChecker LispSetqChecker2 LoadLambdaChecker+ LoadLambdaChecker2+ LoadLambdaChecker3+ LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ,0,6,true,LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 , , ,LispLambdaChecker-(0.0/10.0) LispLambdaChecker2-(0.0/10.0) LispLambdaChecker3-(0.0/10.0) LoadLambdaChecker-(0.0/15.0) LoadLambdaChecker2-(0.0/15.0) LoadLambdaChecker3-(0.0/15.0) , ,
7,Mon Nov 15 14:31:43 EST 2021,34,9,RelationalSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker GreaterChecker+ GreaterOrEqualChecker+ LessChecker+ LessOrEqualChecker+ ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker DerivedSafeChecker LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ,0,7,true,GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker , , ,GreaterChecker-(10.0/10.0) GreaterOrEqualChecker-(10.0/10.0) LessChecker-(10.0/10.0) LessOrEqualChecker-(10.0/10.0) , ,
8,Mon Nov 15 14:31:46 EST 2021,34,0,BasicCurrySuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicOrChecker CurryOnceChecker+ CurryTwiceChecker+ CurryTwoArgsChecker+ DerivedSafeChecker LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,BasicLetTest LetLambdaAndFunctionTest LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ,0,8,true,CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker , ,CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker ,CurryOnceChecker-(0.0/20.0) CurryTwiceChecker-(0.0/20.0) CurryTwoArgsChecker-(0.0/20.0) , ,
9,Mon Nov 15 14:31:49 EST 2021,34,0,A6LetSuite,BasicAndChecker ClassRegistryProvided CombinationChecker CondChecker EvalChecker GreaterChecker GreaterOrEqualChecker LessChecker LessOrEqualChecker ListChecker ListChecker2 LoadLispChecker MainClassProvided NotChecker QuoteChecker TestLispFileProvided , ,A6ExtraCondChecker BasicLetTest+ BasicOrChecker CurryOnceChecker CurryTwiceChecker CurryTwoArgsChecker DerivedSafeChecker LetLambdaAndFunctionTest+ LispLambdaChecker LispLambdaChecker2 LispLambdaChecker3 LispSetqChecker LispSetqChecker2 LoadLambdaChecker LoadLambdaChecker2 LoadLambdaChecker3 LoadSetqChecker LoadSetqChecker2 LoadSetqChecker3 PlusGeneratorChecker TimesGeneratorChecker VariableArgumentAndChecker VariableArgumentOrChecker ,LispIsListChecker LispIsListChecker2 LispIsListChecker3 LispIsListChecker4 LispToStringChecker LispToStringChecker2 LispToStringChecker3 LispToStringChecker4 ,0,9,true,BasicLetTest LetLambdaAndFunctionTest , ,BasicLetTest LetLambdaAndFunctionTest ,BasicLetTest-(0.0/10.0) LetLambdaAndFunctionTest-(0.0/40.0) , ,
